,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 102, ""515"": -52}",-5.188965150981547,-1.194,-1.194,0.0,-11.416327906724486,-2.3642393999999998,-1.194,-1.194,-6.816907697032244
"{""377"": 80, ""515"": -52}",-0.6,-2.3642393999999998,-4.635318334324794,-8.912533734307463,0.0,-3.51119103594,-1.78206,-2.3642393999999998,-0.6
"{""377"": -6, ""515"": 36}",-4.198249360761345,-5.95108231382862,-3.139852372238507,-18.453117633195447,-3.674369310030961,-15.4502588917751,-5.708163953362243,-8.896569150012917,-16.438690492005723
"{""377"": 40, ""515"": 12}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 46, ""515"": 11}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 40, ""515"": 10}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 43, ""515"": -12}",-4.711704198482194,-12.031319806015158,-6.429655775783431,-1.75559551797,-3.674369310030961,0.0,-1.1821196999999999,-0.597,-1.1821196999999999
"{""377"": 56, ""515"": 10}",-15.739798739828776,-16.84147494570266,-20.555724804571415,-13.911953243784437,-17.486373602003372,-13.911953243784437,-13.911953243784437,-27.056586979089413,-22.6540410289521
"{""377"": 21, ""515"": 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -15, ""515"": 49}",-1.470298503,-7.808988798351587,-0.597,-1.75559551797,-0.597,-0.89103,0.0,-0.3,-0.3
"{""377"": 79, ""515"": -51}",-2.940597006,-3.51119103594,-2.940597006,-0.6,-3.51119103594,-3.51119103594,-3.51119103594,0.0,-1.78206
"{""377"": 65, ""515"": -40}",-3.51119103594,-5.188965150981547,-0.6,-9.423408396964389,-7.875251233861302,-2.940597006,-1.194,-0.6,-1.194
"{""377"": 66, ""515"": -33}",-4.635318334324794,-4.0760791255806,-8.912533734307463,-16.50117984252878,-3.51119103594,-13.330718436051193,-2.940597006,-7.348738620061922,-9.929174312994745
"{""377"": 63, ""515"": -32}",-3.51119103594,-2.3642393999999998,-0.6,-0.6,-2.3642393999999998,-2.3642393999999998,-11.90216462765724,-2.3642393999999998,-0.6
"{""377"": 65, ""515"": -32}",-1.194,-1.78206,-4.635318334324794,-6.816907697032244,-2.940597006,-12.383142981380669,-6.816907697032244,-6.279704744477014,-21.443303874916893
"{""377"": 68, ""515"": -34}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 2, ""515"": 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 6, ""515"": 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 22, ""515"": 8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 71, ""515"": -24}",-39.53003630915742,-52.35519973927445,-20.263077540960975,-33.41712110242962,-33.68294989140532,-46.84576383801163,-10.429882569864796,-24.062639612030317,-6.816907697032244
"{""377"": 80, ""515"": -29}",-42.570690341402134,-39.93738858660518,-17.793138300025834,-15.169674340104216,-6.279704744477014,-26.504031687128155,-9.423408396964389,-6.279704744477014,-45.744446712702384
"{""377"": 67, ""515"": -39}",-19.861694485819168,-4.635318334324794,-1.78206,-1.78206,-14.716842767782037,-6.816907697032244,-16.936168044103493,-3.51119103594,-0.6
"{""377"": 64, ""515"": -31}",-5.188965150981547,-3.51119103594,-7.875251233861302,-24.062639612030317,-2.940597006,-12.383142981380669,-3.51119103594,-5.188965150981547,-17.36680636366246
"{""377"": 57, ""515"": -26}",-2.3642393999999998,-1.78206,-0.6,0.0,-8.912533734307463,-0.6,-5.7370754994717315,-2.940597006,0.0
"{""377"": 61, ""515"": -27}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 91, ""515"": -42}",-7.875251233861302,-1.194,-3.51119103594,-5.188965150981547,-2.940597006,-14.716842767782037,-12.859311551566861,-2.3642393999999998,-17.36680636366246
"{""377"": 93, ""515"": -43}",-8.39649872152269,-1.78206,-5.7370754994717315,-2.3642393999999998,-0.6,-2.3642393999999998,0.0,-3.51119103594,-5.7370754994717315
"{""377"": 51, ""515"": -1}",-26.504031687128155,-18.215206917025576,-45.600451224951904,-34.972747204006744,-50.17152181751472,-14.716842767782037,-23.699635971747796,-38.257678928370154,-35.95892082290754
"{""377"": 82, ""515"": -33}",-31.479597479657553,-2.940597006,-13.797411251690681,-36.67296491554636,-4.635318334324794,-1.78206,-6.279704744477014,-25.823927851370428,-55.28094016958108
"{""377"": 92, ""515"": -26}",-13.797411251690681,-40.920656170851345,-18.63305484785532,-42.394636708487006,-28.779568640981587,-12.859311551566861,-26.838991370256874,-19.861694485819168,-12.859311551566861
"{""377"": 80, ""515"": -30}",-2.940597006,-7.875251233861302,-4.635318334324794,-5.7370754994717315,-2.3642393999999998,-14.259437139173775,-1.194,-7.348738620061922,-14.259437139173775
"{""377"": 33, ""515"": -2}",-12.388896541875457,-12.031319806015158,-15.004889103024018,-14.700427612513026,-3.937625616930651,-6.191571490690334,-4.198249360761345,-4.711704198482194,-6.429655775783431
"{""377"": 63, ""515"": -6}",-12.859311551566861,-16.061797820736142,-29.09177295457177,-19.861694485819168,-15.617977596703174,-59.53231844608378,-52.72987101857707,-14.716842767782037,-34.206659188566356
"{""377"": 33, ""515"": -3}",-7.129718569586887,-9.7281285281915,-10.131538770480487,-12.388896541875457,-5.708163953362243,-10.330223382775683,-6.429655775783431,-7.584837170052108,-7.584837170052108
"{""377"": 79, ""515"": -28}",-10.429882569864796,-4.0760791255806,-6.279704744477014,-47.490452295914295,-14.716842767782037,-5.188965150981547,-27.170601456554305,-10.925583744166149,-48.22250915861844
"{""377"": 75, ""515"": -25}",-33.14860717417133,-12.383142981380669,-10.925583744166149,-13.330718436051193,-16.061797820736142,-10.429882569864796,-7.348738620061922,-2.3642393999999998,-13.330718436051193
"{""377"": 37, ""515"": -12}",-5.708163953362243,-2.317659167162397,-6.429655775783431,-5.708163953362243,-1.470298503,-2.8685377497358657,-7.358421383891018,-1.1821196999999999,-0.597
